subscription_id,start_date,end_date,payment_date,invoice_amount,booking_amount,refund_date,refund_amount,kind
202262,2026-01-19,2027-01-19,2026-01-19,374.02,374.02,,0,Upfront
206816,2026-01-29,2027-01-30,2026-01-29,374.02,374.02,,0,Upfront
202264,2026-01-19,2027-01-19,2026-01-19,455.98,455.98,,0,Upfront
212828,2026-02-15,2027-02-15,2026-02-15,292.56,292.56,,0,Upfront
200663,2026-01-16,2027-01-16,2026-01-16,374.02,374.02,,0,Upfront
212892,2026-02-17,2027-02-17,2026-02-17,345.53,345.53,,0,Upfront
208904,2026-02-03,2027-02-03,2026-02-03,351.64,351.64,,0,Upfront
186701,2026-01-10,2027-01-10,2026-01-10,269.67,269.67,,0,Upfront
211550,2026-02-11,2027-02-11,2026-02-11,374.02,374.02,,0,Upfront
217110,2026-02-28,2027-02-28,2026-02-28,351.64,351.64,,0,Upfront
194395,2026-01-24,2027-01-24,2026-01-24,351.64,351.64,,0,Upfront
213890,2026-02-19,2027-02-19,2026-02-19,374.02,374.02,,0,Upfront
216077,2026-02-26,2027-02-26,2026-02-26,374.02,374.02,,0,Upfront
216093,2026-02-26,2027-02-26,2026-02-26,374.02,374.02,,0,Upfront
202536,2026-01-20,2027-01-20,2026-01-20,455.98,455.98,,0,Upfront
211247,2026-02-10,2027-02-10,2026-02-10,351.64,351.64,,0,Upfront
216420,2026-02-27,2027-02-27,2026-02-27,269.67,269.67,,0,Upfront
194651,2026-01-06,2027-01-06,2026-01-06,263.57,263.57,,0,Upfront
205238,2026-01-30,2027-01-30,2026-01-30,269.67,269.67,,0,Upfront
195992,2026-01-08,2027-01-08,2026-01-08,345.53,345.53,,0,Upfront
207833,2026-01-31,2027-01-31,2026-01-31,269.67,269.67,,0,Upfront
196261,2026-01-08,2027-01-08,2026-01-08,339.02,339.02,,0,Upfront
208253,2026-02-03,2027-02-03,2026-02-03,351.64,351.64,,0,Upfront
195030,2026-01-07,2027-01-07,2026-01-07,374.02,374.02,,0,Upfront
198769,2026-01-12,2027-01-12,2026-01-12,351.64,351.64,,0,Upfront
207090,2026-01-30,2027-01-30,2026-01-30,269.67,269.67,,0,Upfront
210665,2026-02-08,2027-02-08,2026-02-08,351.64,351.64,,0,Upfront
203001,2026-01-21,2027-01-21,2026-01-21,420.98,420.98,,0,Upfront
194692,2026-01-06,2027-01-06,2026-01-06,263.57,263.57,,0,Upfront
207561,2026-01-30,2027-01-30,2026-01-30,339.02,339.02,2026-02-06,339.02,Upfront
199494,2026-01-13,2027-01-13,2026-01-13,105.74,105.74,,0,Upfront
197058,2026-01-09,2027-01-09,2026-01-09,269.67,269.67,,0,Upfront
209836,2026-02-06,2027-02-06,2026-02-06,269.67,269.67,,0,Upfront
214641,2026-02-22,2027-02-22,2026-02-22,351.64,351.64,,0,Upfront
214595,2026-02-21,2027-02-21,2026-02-21,374.02,374.02,,0,Upfront
202537,2026-01-20,2027-01-20,2026-01-20,374.02,374.02,,0,Upfront
216057,2026-02-26,2027-02-26,2026-02-26,374.02,374.02,,0,Upfront
205621,2026-01-27,2027-01-27,2026-01-27,269.67,269.67,,0,Upfront
208286,2026-02-01,2027-02-01,2026-02-01,351.64,351.64,,0,Upfront
201853,2026-01-18,2027-01-18,2026-01-18,433.61,433.61,,0,Upfront
198171,2026-01-11,2027-01-11,2026-01-11,269.67,269.67,,0,Upfront
198768,2026-01-12,2027-01-12,2026-01-12,351.64,351.64,,0,Upfront
212818,2026-02-14,2027-02-14,2026-02-14,351.64,351.64,,0,Upfront
202263,2026-01-20,2027-01-20,2026-01-20,374.02,374.02,,0,Upfront
195031,2026-01-07,2027-01-07,2026-01-07,345.53,345.53,,0,Upfront
